NCT Number,Study Title,Conditions,Sponsor
NCT06418139,Association of Pembrolizumab Infusion Time and Efficacy in Patients With Non-metastatic Triple-negative Breast Cancer (TNBC) Treated With Neoadjuvant Chemotherapy and Immunotherapy,Non-Metastatic Breast Carcinoma,Assistance Publique - Hôpitaux de Paris
NCT06418126,Prediction of Radiotherapy Efficacy in Patients With Triple-negative Breast Cancer,Triple-negative Breast Cancer,Institut de cancérologie Strasbourg Europe
NCT06418113,Neoadjuvant Radio-chemotherapy Safety Pilot Study in Patients With Glioblastoma,"Glioblastoma|Glioblastoma Multiforme|Glioblastoma, IDH-wildtype|Radiotherapy; Complications|Cancer Brain","Hospital San Carlos, Madrid"
NCT06418100,Recto-intercostal Block for Coronary Artery Bypass Grafting,Coronary Artery Disease|Peripheral Nerve Blocks|Sternotomy,Haseki Training and Research Hospital
NCT06418087,Durvalumab With Carboplatin and Etoposide Chemotherapy in Pulmonary Large-cell Neuroendocrine Carcinoma (LCNEC),Pulmonary Large-cell Neuroendocrine Carcinoma,Gruppo Oncologico Italiano di Ricerca Clinica
NCT06418074,"Effects of Exogenous Ketosis on Renal Function, Renal Perfusion, and Sodium Excretory Capacity",Ketosis|Essential Hypertension,Gødstrup Hospital
NCT06418061,"Study of IBI3005 in Subjects With Unresectable, Locally Advanced or Metastatic Solid Tumors",Solid Tumors,Innovent Biologics (Suzhou) Co. Ltd.
NCT06418048,INfectious DIsease REgistry BIObank,Bloodstream Infections|Central Nervous System Infections|Bone and Joint Infections|Endovascular Infections|Infective Endocarditis|CIED-related Infections|Vertebral Osteomyelitis,IRCCS San Raffaele
NCT06418035,Acquisition of Daily Living Skills in Autistic Children: Comparison Between QR Code and a Human Operator,Autism|Autism Spectrum Disorder,Istituto per la Ricerca e l'Innovazione Biomedica
NCT06418022,Evaluating Fluid Responsiveness in ICU Patients Using VTI and Trendelenburg Positioning,"Shock|Fluid Overload|Cardiac Output, Low",Lenox Hill Hospital
NCT06418009,Determination of the Effect of Cold Needle on Invasive Pain Cannulation,Hemodialysis Complication|Pain,Istanbul Demiroglu Bilim University
NCT06417996,Biobeat Digital Home Monitoring Feasibility,Thoracic Surgery|Home Monitoring,Lawson Health Research Institute
NCT06417983,Topical Application of Essential Oils to Treat Onchomycosis,Onychomycosis of Toenail|Fungal Infection|Toenail Infection,"Medical Life Care Planners, LLC"
NCT06417970,"Proprioception, Touch and Psychometric Relationship in Volleyball Players",Proprioceptive Disorders|Sports Physical Therapy|Kinesiophobia|Somatosensory Disorders|Shoulder Injuries,Suleyman Demirel University
NCT06417957,Cultural Competence Education Given According to the Peer Education Model,Culture Shock|Cultural Competence,Istanbul Aydın University
NCT06417944,The Effect of Three-dimensional Exercise (Schroth Exercise) on Diaphragm Thickness in Adolescent Idiopathic Scoliosis Patients,Spine Deformity|Scoliosis|Scoliosis Idiopathic|Scoliosis; Adolescence|Diaphragm Issues,Gaziosmanpasa Research and Education Hospital
NCT06417931,Medication Adherence and Use of Inhaler Devices in Patients With Asthma or COPD,Asthma COPD,University of Ibadan
NCT06417918,"An Evaluation of a Family Counseling Intervention (""Tuko Pamoja"") in Kenya: a Pilot Randomized Controlled Trial",Mental Health Issue|Family Relations|Family Conflict|Child Mental Disorder|Adolescent - Emotional Problem|Adolescent Problem Behavior|Child Behavior|Child Abuse|Marital Conflict|Domestic Violence|Parent-Child Relations|Parenting,Duke University
